[2025-12-20 23:00:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x96e | src=10.216.16.8:34142 -> dst=10.47.111.60:80 | http=PATCH /api/v1/orders 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.18
[2025-12-20 23:00:51] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xaac | src=10.223.0.134:5609 -> dst=10.100.186.111:8080 | http=PATCH /admin 500 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.28
[2025-12-20 23:00:55] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xad0 | src=10.154.207.141:14798 -> dst=10.0.155.74:8443 | http=PATCH /actuator/env 500 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.25
[2025-12-20 23:00:56] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xe2e | src=10.47.120.173:14074 -> dst=10.158.115.207:443 | http=GET / 204 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.26
[2025-12-20 23:00:58] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xe44 | src=10.54.217.57:37554 -> dst=10.90.237.13:443 | http=GET /wp-login.php 201 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.43
[2025-12-20 23:01:04] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x14b | src=10.126.141.197:29851 -> dst=10.248.122.71:80 | http=PUT /api/v1/orders 301 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.41
[2025-12-20 23:01:04] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x63e | src=10.238.212.16:60323 -> dst=10.105.215.100:80 | http=PATCH /.env 403 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.2
[2025-12-20 23:01:08] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x6dc | src=10.14.199.87:31654 -> dst=10.207.84.216:443 | http=PATCH /actuator/health 200 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.13
[2025-12-20 23:01:09] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xc80 | src=10.172.194.72:6391 -> dst=10.215.129.214:8443 | http=GET /actuator/health 200 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:pay.example.lab | neden="Health-check başarılı." conf=0.33
[2025-12-20 23:01:10] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x29f | src=10.64.242.172:46864 -> dst=10.58.111.120:8080 | http=PUT /api/v1/users 429 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:web.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.37
[2025-12-20 23:01:11] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x6b9 | src=10.52.154.218:35937 -> dst=10.61.21.89:8443 | http=PUT /login 404 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.1
[2025-12-20 23:01:12] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x7e9 | src=10.247.238.112:17112 -> dst=10.137.165.219:80 | http=PUT /wp-login.php 204 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.22
[2025-12-20 23:01:14] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x679 | src=10.5.97.22:37408 -> dst=10.123.208.126:443 | http=DELETE /wp-login.php 403 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.2
[2025-12-20 23:01:17] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xbd2 | src=10.169.180.180:17499 -> dst=10.232.138.79:443 | http=GET /api/v1/orders 400 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:auth.example.lab | neden="Health-check başarılı." conf=0.17
[2025-12-20 23:01:23] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x33 | src=10.91.154.4:64875 -> dst=10.64.140.12:80 | http=PATCH /api/v1/payments 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.14
[2025-12-20 23:01:27] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xca7 | src=10.33.205.126:10801 -> dst=10.37.27.39:8080 | http=GET /api/v1/orders 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.31
[2025-12-20 23:01:32] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x736 | src=10.50.106.161:6344 -> dst=10.108.135.170:443 | http=POST /api/v1/users 404 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Health-check başarılı." conf=0.1
[2025-12-20 23:01:36] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xd31 | src=10.135.101.109:10788 -> dst=10.58.115.166:8080 | http=POST /login 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.31
[2025-12-20 23:01:39] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xac2 | src=10.224.41.154:22147 -> dst=10.20.221.189:8080 | http=GET /login 204 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:auth.example.lab | neden="Health-check başarılı." conf=0.45
[2025-12-20 23:01:44] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x49d | src=10.223.251.249:27785 -> dst=10.46.240.90:8080 | http=PUT /login 201 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:web.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.92
[2025-12-20 23:01:48] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x342 | src=10.59.206.222:4576 -> dst=10.0.236.106:443 | http=PATCH /admin 429 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.37
[2025-12-20 23:01:50] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x4ac | src=10.81.159.142:15749 -> dst=10.7.208.24:80 | http=DELETE /login 500 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.43
[2025-12-20 23:01:53] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xd67 | src=10.196.97.236:51662 -> dst=10.69.35.71:8443 | http=PUT /actuator/health 301 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.35
[2025-12-20 23:01:59] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x792 | src=10.193.233.239:46735 -> dst=10.164.96.252:443 | http=PATCH /.env 204 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.21
[2025-12-20 23:02:03] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x65d | src=10.51.225.26:10471 -> dst=10.233.7.185:8443 | http=POST /login 403 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.32
[2025-12-20 23:02:06] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xe6 | src=10.120.147.59:7475 -> dst=10.46.222.251:80 | http=DELETE /api/v1/users 301 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:api.example.lab | neden="Health-check başarılı." conf=0.21
[2025-12-20 23:02:09] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x27 | src=10.40.195.159:39241 -> dst=10.123.254.234:443 | http=POST /wp-login.php 500 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.19
[2025-12-20 23:02:13] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xfe3 | src=10.217.128.117:56948 -> dst=10.154.101.99:8443 | http=GET /api/v1/orders 401 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.3
[2025-12-20 23:02:14] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xe75 | src=10.254.146.199:42745 -> dst=10.117.180.57:443 | http=PATCH /api/v1/payments 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.32
[2025-12-20 23:02:15] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xf1c | src=10.46.151.84:9685 -> dst=10.212.89.52:8080 | http=PATCH /actuator/health 301 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.42
[2025-12-20 23:02:18] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xd29 | src=10.203.187.24:36188 -> dst=10.202.7.68:80 | http=DELETE /admin 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.3
[2025-12-20 23:02:21] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x3c2 | src=10.113.32.163:27782 -> dst=10.237.154.167:80 | http=POST / 200 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.78
[2025-12-20 23:02:23] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x5e1 | src=10.250.208.241:25307 -> dst=10.143.16.177:443 | http=DELETE /wp-login.php 204 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:api.example.lab | neden="Health-check başarılı." conf=0.44
[2025-12-20 23:02:29] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x3bb | src=10.108.10.13:9276 -> dst=10.170.124.254:443 | http=GET /actuator/health 204 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:api.example.lab | neden="Health-check başarılı." conf=0.38
[2025-12-20 23:02:31] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xbdf | src=10.89.56.170:24501 -> dst=10.13.67.4:443 | http=PATCH /admin 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.12
[2025-12-20 23:02:32] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xe8f | src=10.231.113.243:43185 -> dst=10.22.154.118:80 | http=GET /wp-login.php 401 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.27
[2025-12-20 23:02:33] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xd3e | src=10.195.150.117:47015 -> dst=10.220.50.204:80 | http=PATCH /api/v1/orders 401 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.24
[2025-12-20 23:02:37] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x693 | src=10.242.34.24:7352 -> dst=10.43.47.111:8080 | http=POST /actuator/health 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.33
[2025-12-20 23:02:43] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xd86 | src=10.53.108.40:8116 -> dst=10.246.114.217:8080 | http=PATCH /admin 200 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:pay.example.lab | neden="Health-check başarılı." conf=0.38
[2025-12-20 23:02:48] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x372 | src=10.173.179.2:44103 -> dst=10.92.73.145:8443 | http=GET /api/v1/users 500 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.36
[2025-12-20 23:02:52] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x833 | src=10.26.79.41:30063 -> dst=10.25.41.70:8443 | http=DELETE /actuator/env 403 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.18
[2025-12-20 23:02:53] [SALDIRI] KRITIK: RBAC Yetki Yükseltme Şüphesi | Aksiyon: Engellendi | Stage: Privilege Escalation | Rule: K8S-RBAC-4005 | ID: 0x2d0 | src=155.28.3.53:10017 -> dst=10.154.108.197:8080 | http=PUT /admin 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:web.example.lab | neden="Yüksek ayrıcalık istek paterni normal dışı." conf=0.93
[2025-12-20 23:02:55] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xf2a | src=10.235.39.221:27528 -> dst=10.160.219.147:8443 | http=PUT /login 401 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.16
[2025-12-20 23:03:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x598 | src=10.40.202.223:22851 -> dst=10.158.173.57:443 | http=GET /actuator/health 500 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.42
